Crop,Season,State,Soil_Type,Area,Cost_per_Hectare
Chillies,Rabi,Punjab,Alluvial,0.97,56024
Brinjal,Kharif,Punjab,Red,1.07,46915
Wheat,Kharif,Punjab,Laterite,2.8,33549
Onion,Annual,Andhra Pradesh,Black,2.26,50330
Cabbage,Annual,Andhra Pradesh,Red,2.42,45739
Banana,Rabi,Madhya Pradesh,Alluvial,1.44,122337
Turmeric,Annual,Odisha,Sandy,2.77,88742
Mustard,Kharif,Tamil Nadu,Loamy,2.47,31480
Ragi,Annual,Uttar Pradesh,Laterite,2.38,26746
Tomato,Kharif,Karnataka,Black,2.93,51934
Garlic,Rabi,Karnataka,Alluvial,1.42,47794
Paddy,Rabi,Punjab,Red,2.03,29139
Mustard,Kharif,Rajasthan,Loamy,2.77,30547
Lentil,Annual,Uttar Pradesh,Loamy,2.48,23826
Mustard,Rabi,Tamil Nadu,Laterite,1.91,31220
Chillies,Rabi,Tamil Nadu,Alluvial,0.69,59908
Beans,Annual,Karnataka,Alluvial,2.13,25627
Soybean,Annual,Rajasthan,Black,1.82,34459
Rice,Kharif,Tamil Nadu,Sandy,0.96,28345
Sugarcane,Annual,Uttar Pradesh,Sandy,2.71,98524
Sesame,Annual,Odisha,Clay,1.36,25835
Sunflower,Annual,Telangana,Sandy,1.47,33756
Turmeric,Kharif,Rajasthan,Clay,2.18,87627
Chillies,Kharif,Tamil Nadu,Loamy,1.72,54844
Rice,Rabi,Rajasthan,Loamy,0.72,28839
Peas,Kharif,Rajasthan,Red,1.47,29512
Tomato,Rabi,Odisha,Loamy,0.74,47409
Sesame,Annual,Uttar Pradesh,Loamy,0.98,24173
Jowar,Rabi,Karnataka,Alluvial,0.52,23640
Peas,Rabi,Odisha,Red,0.95,27987
Turmeric,Annual,Tamil Nadu,Alluvial,1.33,79256
Sugarcane,Rabi,Punjab,Black,1.85,101366
Banana,Kharif,Odisha,Clay,2.8,129865
Sugarcane,Kharif,Punjab,Clay,1.85,103461
Chillies,Kharif,Maharashtra,Black,2.26,59295
Sugarcane,Kharif,Karnataka,Clay,1.39,102080
Green Gram,Rabi,Uttar Pradesh,Red,2.38,21127
Green Gram,Rabi,Telangana,Red,2.05,23507
Brinjal,Annual,Rajasthan,Loamy,1.65,50172
Chillies,Rabi,Punjab,Clay,0.98,53333
Brinjal,Rabi,Telangana,Black,1.26,49317
Jowar,Rabi,Telangana,Laterite,2.05,24429
Banana,Annual,Punjab,Sandy,1.57,130200
Banana,Kharif,Telangana,Loamy,2.72,126517
Cotton,Rabi,Rajasthan,Sandy,1.09,49169
Chillies,Annual,Madhya Pradesh,Black,0.68,53115
Bajra,Annual,Maharashtra,Clay,1.97,21034
Lentil,Annual,Punjab,Clay,2.72,27400
Sesame,Kharif,Rajasthan,Sandy,1.41,23088
Black Gram,Rabi,Karnataka,Laterite,2.12,23182
Garlic,Annual,Punjab,Clay,1.08,52374
Maize,Kharif,Rajasthan,Laterite,1.9,28132
Soybean,Annual,Rajasthan,Alluvial,2.47,31621
Sugarcane,Annual,Odisha,Red,2.67,90664
Sesame,Annual,Madhya Pradesh,Sandy,0.76,24676
Carrot,Annual,Punjab,Clay,1.39,31640
Lentil,Annual,Uttar Pradesh,Laterite,2.1,24900
Rice,Kharif,Rajasthan,Clay,0.59,29189
Cabbage,Rabi,Maharashtra,Red,2.23,48870
Ragi,Rabi,Odisha,Red,1.82,27507
Cotton,Rabi,Rajasthan,Alluvial,1.22,43842
Sugarcane,Rabi,Punjab,Red,2.54,100116
Tobacco,Kharif,Tamil Nadu,Red,1.23,62487
Bajra,Kharif,Rajasthan,Loamy,2.98,22919
Sugarcane,Kharif,Andhra Pradesh,Black,2.54,92691
Rice,Annual,Tamil Nadu,Clay,2.27,29682
Green Gram,Annual,Rajasthan,Alluvial,0.65,22643
Horse Gram,Annual,Telangana,Alluvial,2.76,23134
Garlic,Rabi,Rajasthan,Sandy,2.48,48620
Chillies,Annual,Karnataka,Red,1.07,57745
Mustard,Rabi,Telangana,Sandy,1.48,31519
Sesame,Annual,Punjab,Loamy,1.17,24715
Tobacco,Rabi,Maharashtra,Laterite,2.96,56618
Black Gram,Annual,Tamil Nadu,Red,2.64,22289
Brinjal,Annual,Uttar Pradesh,Laterite,2.83,46736
Bajra,Kharif,Odisha,Black,2.47,22071
Turmeric,Annual,Maharashtra,Loamy,1.64,86632
Beans,Annual,Telangana,Red,1.01,25396
Maize,Kharif,Odisha,Sandy,1.02,25113
Peas,Rabi,Tamil Nadu,Sandy,0.88,29233
Black Gram,Kharif,Uttar Pradesh,Red,1.87,23432
Lentil,Kharif,Andhra Pradesh,Clay,2.8,26106
Peas,Rabi,Andhra Pradesh,Sandy,2.98,30627
Groundnut,Annual,Uttar Pradesh,Clay,1.22,40085
Brinjal,Rabi,Odisha,Red,2.24,46687
Banana,Annual,Punjab,Alluvial,1.99,123514
Turmeric,Annual,Odisha,Sandy,1.72,82402
Black Gram,Rabi,Rajasthan,Clay,2.16,21854
Cabbage,Kharif,Odisha,Red,1.43,47698
Chillies,Rabi,Punjab,Red,2.86,58980
Cotton,Annual,Maharashtra,Clay,2.26,42995
Sesame,Rabi,Tamil Nadu,Sandy,2.39,22812
Cabbage,Rabi,Odisha,Alluvial,1.11,48721
Beans,Annual,Tamil Nadu,Sandy,0.92,27367
Onion,Kharif,Telangana,Red,1.49,48522
Sesame,Rabi,Andhra Pradesh,Alluvial,2.42,25181
Paddy,Annual,Andhra Pradesh,Laterite,2.85,30604
Black Gram,Annual,Punjab,Black,1.57,22705
Mustard,Rabi,Telangana,Sandy,2.44,28619
Jowar,Kharif,Andhra Pradesh,Loamy,1.68,23470
Cabbage,Rabi,Punjab,Red,1.24,48695
Sunflower,Kharif,Odisha,Alluvial,2.35,34101
Black Gram,Kharif,Telangana,Clay,2.5,25260
Tobacco,Kharif,Rajasthan,Clay,1.01,60260
Rice,Kharif,Rajasthan,Clay,1.26,27137
Cabbage,Rabi,Rajasthan,Alluvial,1.74,44729
Sunflower,Annual,Maharashtra,Laterite,0.97,35319
Lentil,Annual,Rajasthan,Sandy,2.82,24855
Cotton,Annual,Telangana,Loamy,1.98,48862
Sugarcane,Annual,Karnataka,Clay,0.8,96540
Banana,Annual,Andhra Pradesh,Alluvial,0.96,119267
Tomato,Annual,Rajasthan,Clay,2.89,50875
Banana,Rabi,Telangana,Laterite,2.35,116465
Maize,Kharif,Madhya Pradesh,Red,2.34,26890
Rice,Annual,Odisha,Clay,0.68,25877
Cabbage,Rabi,Maharashtra,Laterite,2.74,47887
Cabbage,Annual,Tamil Nadu,Sandy,1.61,47358
Carrot,Annual,Punjab,Clay,2.15,31871
Turmeric,Kharif,Madhya Pradesh,Laterite,2.9,86315
Mustard,Kharif,Madhya Pradesh,Alluvial,0.75,27743
Beans,Kharif,Maharashtra,Alluvial,1.71,26492
Black Gram,Annual,Punjab,Black,0.62,23381
Black Gram,Annual,Maharashtra,Laterite,1.75,23436
Green Gram,Annual,Rajasthan,Red,1.13,24133
Carrot,Kharif,Tamil Nadu,Clay,2.78,30097
Sunflower,Rabi,Punjab,Loamy,1.5,35821
Banana,Annual,Telangana,Loamy,2.08,121235
Sunflower,Annual,Andhra Pradesh,Sandy,2.65,34909
Green Gram,Annual,Maharashtra,Black,2.96,23415
Chillies,Rabi,Tamil Nadu,Laterite,1.76,53548
Bajra,Annual,Odisha,Red,1.64,23419
Sunflower,Rabi,Karnataka,Black,0.69,32658
Peas,Annual,Odisha,Alluvial,0.53,29652
Garlic,Rabi,Karnataka,Sandy,2.02,53065
Wheat,Annual,Uttar Pradesh,Clay,0.66,30345
Rice,Kharif,Telangana,Clay,1.45,28772
Rice,Kharif,Uttar Pradesh,Clay,0.51,26325
Horse Gram,Kharif,Maharashtra,Laterite,2.04,23002
Paddy,Kharif,Maharashtra,Loamy,1.56,28569
Garlic,Annual,Karnataka,Red,0.82,52634
Tobacco,Kharif,Punjab,Clay,1.24,61993
Paddy,Rabi,Tamil Nadu,Clay,1.92,28315
Sugarcane,Kharif,Rajasthan,Alluvial,2.14,93569
Soybean,Kharif,Madhya Pradesh,Black,1.66,34562
Carrot,Kharif,Maharashtra,Clay,2.51,30201
Beans,Annual,Uttar Pradesh,Sandy,0.78,27162
Jowar,Kharif,Uttar Pradesh,Black,0.71,26123
Maize,Rabi,Odisha,Loamy,0.61,27330
Black Gram,Kharif,Telangana,Black,1.84,22525
Cotton,Kharif,Karnataka,Red,2.27,43777
Soybean,Kharif,Madhya Pradesh,Alluvial,0.83,31611
Rice,Rabi,Karnataka,Laterite,2.1,27235
Soybean,Kharif,Maharashtra,Red,1.69,31163
Peas,Rabi,Andhra Pradesh,Loamy,2.97,31020
Paddy,Rabi,Madhya Pradesh,Sandy,2.29,28099
Onion,Kharif,Odisha,Loamy,2.14,52339
Soybean,Rabi,Uttar Pradesh,Loamy,1.93,34443
Tobacco,Annual,Odisha,Black,2.99,61920
Onion,Kharif,Maharashtra,Sandy,2.95,47720
Soybean,Kharif,Andhra Pradesh,Red,1.85,33153
Turmeric,Rabi,Rajasthan,Loamy,1.64,81853
Wheat,Rabi,Madhya Pradesh,Red,1.66,30644
Maize,Kharif,Karnataka,Clay,1.57,27067
Lentil,Annual,Madhya Pradesh,Clay,1.83,26817
Cotton,Rabi,Uttar Pradesh,Clay,1.18,43381
Garlic,Rabi,Karnataka,Laterite,2.82,49568
Wheat,Annual,Rajasthan,Black,1.73,30403
Cotton,Annual,Rajasthan,Red,2.61,48138
Horse Gram,Kharif,Telangana,Clay,1.69,23435
Cotton,Annual,Karnataka,Clay,2.3,43289
Maize,Kharif,Tamil Nadu,Sandy,1.34,26178
Black Gram,Annual,Andhra Pradesh,Loamy,2.06,25005
Onion,Rabi,Tamil Nadu,Clay,1.75,48081
Soybean,Kharif,Rajasthan,Laterite,1.42,33820
Cabbage,Kharif,Karnataka,Sandy,2.7,44394
Horse Gram,Kharif,Telangana,Black,0.78,21858
Onion,Annual,Madhya Pradesh,Laterite,1.72,49223
Turmeric,Rabi,Madhya Pradesh,Laterite,0.99,87219
Rice,Kharif,Madhya Pradesh,Laterite,2.65,26819
Brinjal,Kharif,Telangana,Loamy,1.13,46512
Beans,Kharif,Maharashtra,Clay,2.08,25881
Tomato,Kharif,Karnataka,Alluvial,0.91,50634
Groundnut,Rabi,Tamil Nadu,Laterite,1.51,40011
Peas,Annual,Andhra Pradesh,Sandy,2.75,31164
Tobacco,Rabi,Rajasthan,Sandy,0.92,54645
Banana,Kharif,Andhra Pradesh,Black,2.16,129821
Rice,Rabi,Rajasthan,Red,1.01,26035
Chillies,Kharif,Karnataka,Red,1.54,55676
Carrot,Annual,Karnataka,Alluvial,1.85,33009
Groundnut,Annual,Odisha,Loamy,1.94,35602
Banana,Annual,Tamil Nadu,Clay,2.01,114727
Tobacco,Kharif,Uttar Pradesh,Loamy,2.1,56971
Horse Gram,Rabi,Rajasthan,Clay,1.18,22779
Jowar,Annual,Punjab,Laterite,1.5,24678
Lentil,Kharif,Uttar Pradesh,Clay,0.59,25313
Peas,Kharif,Madhya Pradesh,Alluvial,2.42,31086
Rice,Rabi,Andhra Pradesh,Black,2.59,28755
Green Gram,Annual,Karnataka,Black,1.0,23493
Green Gram,Kharif,Punjab,Red,1.0,22417
Ragi,Rabi,Rajasthan,Black,0.61,24299
Chillies,Annual,Maharashtra,Laterite,2.93,53670
Cotton,Rabi,Rajasthan,Sandy,2.52,47753
Carrot,Rabi,Andhra Pradesh,Black,1.4,32952
Turmeric,Kharif,Rajasthan,Alluvial,1.7,89859
Ragi,Kharif,Rajasthan,Laterite,1.23,24952
Sunflower,Kharif,Telangana,Black,1.99,32926
Garlic,Rabi,Tamil Nadu,Loamy,2.29,48540
Garlic,Kharif,Uttar Pradesh,Clay,1.62,48885
Mustard,Rabi,Maharashtra,Black,2.68,29848
Maize,Rabi,Karnataka,Loamy,1.79,28503
Garlic,Kharif,Rajasthan,Laterite,0.86,51920
Soybean,Annual,Maharashtra,Black,2.06,32908
Ragi,Annual,Odisha,Loamy,1.66,26800
Tobacco,Annual,Rajasthan,Sandy,2.84,54782
Carrot,Rabi,Telangana,Red,1.48,33241
Sunflower,Rabi,Telangana,Laterite,1.51,35599
Paddy,Rabi,Punjab,Loamy,2.13,27319
Maize,Kharif,Madhya Pradesh,Alluvial,1.82,27159
Cotton,Rabi,Andhra Pradesh,Black,1.44,46774
Jowar,Kharif,Uttar Pradesh,Loamy,2.97,23033
Tobacco,Kharif,Odisha,Clay,1.26,56432
Lentil,Annual,Andhra Pradesh,Loamy,1.19,25216
Carrot,Annual,Andhra Pradesh,Loamy,2.66,30588
Peas,Annual,Punjab,Clay,0.51,28607
Chillies,Kharif,Telangana,Red,1.0,56976
Sugarcane,Kharif,Tamil Nadu,Clay,1.98,96959
Maize,Kharif,Maharashtra,Clay,0.91,27302
Paddy,Rabi,Karnataka,Alluvial,2.96,30616
Sugarcane,Kharif,Tamil Nadu,Clay,1.66,99662
Banana,Annual,Tamil Nadu,Alluvial,1.99,124477
Chillies,Annual,Madhya Pradesh,Sandy,0.9,59242
Wheat,Kharif,Madhya Pradesh,Clay,1.22,32389
Banana,Kharif,Tamil Nadu,Red,2.04,116980
Turmeric,Annual,Telangana,Clay,1.87,81771
Paddy,Kharif,Andhra Pradesh,Loamy,2.46,29680
Cabbage,Annual,Maharashtra,Laterite,1.17,48794
Cotton,Rabi,Andhra Pradesh,Red,2.13,49412
Garlic,Annual,Andhra Pradesh,Clay,1.23,52202
Black Gram,Rabi,Andhra Pradesh,Red,1.97,24953
Chillies,Kharif,Maharashtra,Alluvial,2.01,52700
Bajra,Kharif,Maharashtra,Sandy,0.8,22768
Turmeric,Rabi,Punjab,Sandy,1.87,89214
Onion,Kharif,Uttar Pradesh,Red,0.53,47668
Tobacco,Rabi,Tamil Nadu,Red,1.75,55474
Cabbage,Kharif,Rajasthan,Clay,2.24,46118
Turmeric,Annual,Punjab,Black,0.68,87644
Cabbage,Kharif,Punjab,Loamy,2.85,44284
Paddy,Annual,Karnataka,Alluvial,1.65,29121
Banana,Annual,Rajasthan,Loamy,2.85,116441
Tobacco,Rabi,Madhya Pradesh,Laterite,0.77,57873
Jowar,Kharif,Karnataka,Laterite,2.87,26277
Banana,Rabi,Madhya Pradesh,Sandy,0.77,117512
Peas,Kharif,Uttar Pradesh,Alluvial,1.65,27697
Wheat,Annual,Odisha,Loamy,2.84,31436
Turmeric,Annual,Madhya Pradesh,Sandy,1.08,85005
Horse Gram,Kharif,Andhra Pradesh,Laterite,0.59,21384
Banana,Kharif,Madhya Pradesh,Red,2.48,123751
Wheat,Rabi,Rajasthan,Alluvial,1.99,33883
Tobacco,Kharif,Maharashtra,Alluvial,1.78,56815
Onion,Kharif,Rajasthan,Loamy,0.59,47827
Tomato,Kharif,Uttar Pradesh,Clay,2.13,50098
Horse Gram,Rabi,Punjab,Black,0.93,22086
Maize,Kharif,Andhra Pradesh,Loamy,2.83,24705
Garlic,Annual,Odisha,Red,2.21,52119
Lentil,Rabi,Uttar Pradesh,Clay,2.27,27490
Wheat,Rabi,Punjab,Clay,1.08,30807
Paddy,Annual,Telangana,Clay,2.7,29249
Tobacco,Annual,Rajasthan,Red,1.84,54189
Sesame,Annual,Uttar Pradesh,Sandy,2.64,24975
Garlic,Kharif,Rajasthan,Alluvial,1.18,50853
Bajra,Annual,Odisha,Sandy,2.39,22649
Lentil,Kharif,Punjab,Red,1.94,25789
Banana,Rabi,Rajasthan,Black,0.62,117185
Jowar,Rabi,Maharashtra,Alluvial,1.51,25571
Ragi,Annual,Madhya Pradesh,Red,0.96,26349
Sunflower,Kharif,Karnataka,Black,1.4,33677
Paddy,Annual,Odisha,Loamy,1.46,30537
Mustard,Annual,Karnataka,Laterite,1.69,27605
Wheat,Kharif,Tamil Nadu,Clay,2.0,32825
Beans,Annual,Madhya Pradesh,Red,1.93,26186
Black Gram,Rabi,Odisha,Laterite,0.6,23652
Maize,Annual,Uttar Pradesh,Sandy,2.38,25836
Green Gram,Kharif,Maharashtra,Laterite,2.87,21960
Onion,Kharif,Uttar Pradesh,Red,1.37,45709
Wheat,Rabi,Telangana,Laterite,0.95,32843
Carrot,Kharif,Tamil Nadu,Clay,1.85,32755
Peas,Kharif,Maharashtra,Alluvial,2.26,30396
Beans,Rabi,Rajasthan,Red,2.2,28124
Turmeric,Annual,Rajasthan,Black,2.03,88985
Groundnut,Rabi,Andhra Pradesh,Laterite,0.87,38238
Chillies,Annual,Rajasthan,Alluvial,2.59,57899
Mustard,Rabi,Punjab,Clay,1.56,27597
Groundnut,Annual,Tamil Nadu,Sandy,1.05,39847
Onion,Rabi,Punjab,Sandy,0.72,51478
Groundnut,Annual,Madhya Pradesh,Clay,1.54,35262
Brinjal,Rabi,Andhra Pradesh,Laterite,2.04,48476
Green Gram,Annual,Andhra Pradesh,Sandy,2.16,23891
Mustard,Rabi,Rajasthan,Black,2.91,28339
Lentil,Kharif,Maharashtra,Red,0.88,25072
Mustard,Annual,Madhya Pradesh,Alluvial,2.96,28990
Brinjal,Rabi,Telangana,Loamy,2.14,47159
Wheat,Annual,Tamil Nadu,Laterite,1.64,29644
Sesame,Annual,Tamil Nadu,Sandy,2.72,23804
Wheat,Rabi,Odisha,Red,2.24,30821
Tomato,Annual,Uttar Pradesh,Loamy,1.37,52914
Groundnut,Rabi,Rajasthan,Black,2.71,37104
Tomato,Kharif,Odisha,Sandy,2.17,49837
Rice,Annual,Telangana,Sandy,2.25,27191
Chillies,Kharif,Andhra Pradesh,Alluvial,2.74,53245
Brinjal,Annual,Karnataka,Black,1.62,51632
Onion,Annual,Telangana,Black,2.14,51545
Mustard,Annual,Telangana,Laterite,2.36,29903
Banana,Rabi,Maharashtra,Loamy,1.63,122574
Bajra,Kharif,Maharashtra,Alluvial,0.71,23042
Onion,Annual,Maharashtra,Laterite,2.43,47950
Cabbage,Rabi,Maharashtra,Alluvial,0.62,44046
Tomato,Annual,Uttar Pradesh,Black,2.29,49521
Tomato,Rabi,Rajasthan,Alluvial,2.78,53782
Tobacco,Annual,Tamil Nadu,Alluvial,1.37,55709
Tomato,Kharif,Rajasthan,Alluvial,0.76,50428
Jowar,Kharif,Rajasthan,Red,1.08,22830
Soybean,Annual,Tamil Nadu,Red,1.91,30985
Carrot,Rabi,Maharashtra,Loamy,2.86,32180
Soybean,Annual,Rajasthan,Loamy,1.78,31827
Banana,Rabi,Uttar Pradesh,Clay,0.78,130302
Mustard,Annual,Maharashtra,Black,2.07,29316
Brinjal,Rabi,Uttar Pradesh,Alluvial,2.33,46116
Carrot,Kharif,Odisha,Black,1.48,31987
Peas,Annual,Rajasthan,Red,2.3,31008
Lentil,Kharif,Punjab,Alluvial,1.31,23822
Mustard,Kharif,Uttar Pradesh,Laterite,2.47,29749
Sunflower,Annual,Odisha,Red,1.35,36244
Brinjal,Annual,Madhya Pradesh,Red,1.14,45380
Paddy,Rabi,Madhya Pradesh,Red,2.7,30391
Green Gram,Rabi,Odisha,Clay,1.87,21772
Carrot,Kharif,Andhra Pradesh,Alluvial,1.21,30243
Bajra,Rabi,Andhra Pradesh,Loamy,2.84,22844
Sugarcane,Rabi,Maharashtra,Sandy,2.23,92744
Wheat,Annual,Andhra Pradesh,Laterite,1.05,32610
Black Gram,Rabi,Madhya Pradesh,Laterite,2.04,23540
Brinjal,Kharif,Andhra Pradesh,Black,2.68,45425
Horse Gram,Rabi,Punjab,Alluvial,2.24,23367
Wheat,Kharif,Madhya Pradesh,Loamy,1.11,32580
Jowar,Annual,Uttar Pradesh,Red,2.12,24765
Groundnut,Kharif,Telangana,Sandy,2.05,37227
Mustard,Rabi,Andhra Pradesh,Alluvial,2.55,28136
Peas,Annual,Andhra Pradesh,Alluvial,0.95,30627
Black Gram,Rabi,Rajasthan,Clay,2.25,24657
Horse Gram,Annual,Tamil Nadu,Loamy,0.57,20830
Wheat,Annual,Punjab,Sandy,2.24,31749
Mustard,Rabi,Madhya Pradesh,Red,2.9,29659
Rice,Rabi,Madhya Pradesh,Alluvial,0.94,27067
Cabbage,Annual,Karnataka,Laterite,1.28,49146
Black Gram,Annual,Tamil Nadu,Laterite,1.96,22193
Sugarcane,Rabi,Andhra Pradesh,Sandy,2.33,93171
Banana,Kharif,Odisha,Red,1.36,114028
Green Gram,Rabi,Rajasthan,Sandy,2.16,22130
Ragi,Annual,Uttar Pradesh,Alluvial,2.75,25338
Chillies,Rabi,Rajasthan,Clay,2.32,59402
Maize,Kharif,Andhra Pradesh,Clay,2.28,27608
Rice,Rabi,Karnataka,Laterite,1.45,25992
Cabbage,Annual,Telangana,Clay,2.78,48812
Tobacco,Rabi,Madhya Pradesh,Black,1.19,59924
Green Gram,Annual,Uttar Pradesh,Sandy,1.01,21829
Tomato,Annual,Tamil Nadu,Clay,1.41,46663
Paddy,Rabi,Andhra Pradesh,Black,2.13,27083
Sugarcane,Annual,Punjab,Black,2.65,93811
Banana,Annual,Odisha,Loamy,0.83,128699
Ragi,Kharif,Rajasthan,Laterite,2.53,26004
Jowar,Kharif,Karnataka,Sandy,2.53,26106
Groundnut,Kharif,Telangana,Black,1.97,39529
Turmeric,Kharif,Maharashtra,Alluvial,2.4,81431
Mustard,Annual,Odisha,Clay,0.95,31227
Soybean,Rabi,Andhra Pradesh,Loamy,0.92,30960
Garlic,Annual,Telangana,Red,2.66,47770
Onion,Annual,Odisha,Clay,1.75,49981
Lentil,Annual,Odisha,Clay,1.11,25031
Peas,Rabi,Madhya Pradesh,Clay,2.22,28983
Beans,Kharif,Odisha,Loamy,2.73,27380
Peas,Annual,Punjab,Red,2.08,31247
Maize,Annual,Telangana,Laterite,1.37,25956
Ragi,Kharif,Andhra Pradesh,Sandy,1.71,25468
Groundnut,Annual,Andhra Pradesh,Sandy,2.38,38112
Tobacco,Rabi,Punjab,Red,0.67,59734
Black Gram,Annual,Tamil Nadu,Clay,1.04,22550
Ragi,Annual,Telangana,Alluvial,1.66,27715
Mustard,Kharif,Odisha,Red,2.01,30396
Tomato,Annual,Karnataka,Red,1.35,51144
Lentil,Annual,Uttar Pradesh,Sandy,1.25,27140
Groundnut,Rabi,Telangana,Black,0.6,40185
Soybean,Kharif,Maharashtra,Alluvial,0.58,31050
Green Gram,Kharif,Karnataka,Sandy,1.2,21378
Turmeric,Rabi,Punjab,Loamy,1.83,87271
Groundnut,Annual,Odisha,Red,1.89,40460
Brinjal,Kharif,Tamil Nadu,Black,1.74,49348
Jowar,Kharif,Maharashtra,Alluvial,1.52,24280
Garlic,Annual,Tamil Nadu,Laterite,1.13,52626
Horse Gram,Annual,Tamil Nadu,Alluvial,1.5,21162
Wheat,Kharif,Rajasthan,Alluvial,0.85,34090
Carrot,Annual,Madhya Pradesh,Clay,0.79,31454
Cotton,Kharif,Maharashtra,Red,1.25,49038
Mustard,Annual,Uttar Pradesh,Red,2.99,29423
Groundnut,Annual,Madhya Pradesh,Laterite,1.32,40301
Onion,Rabi,Maharashtra,Laterite,2.84,48016
Garlic,Annual,Tamil Nadu,Laterite,1.48,53204
Wheat,Rabi,Madhya Pradesh,Sandy,1.6,33872
Sunflower,Annual,Maharashtra,Sandy,2.49,35594
Sugarcane,Kharif,Uttar Pradesh,Red,0.73,99905
Rice,Kharif,Karnataka,Red,0.96,26066
Wheat,Annual,Telangana,Laterite,2.93,31655
Ragi,Annual,Odisha,Sandy,1.76,27616
Soybean,Kharif,Maharashtra,Black,0.61,31556
Sunflower,Annual,Uttar Pradesh,Sandy,0.62,36320
Rice,Rabi,Telangana,Red,2.77,28386
Bajra,Rabi,Madhya Pradesh,Sandy,2.68,21635
Cotton,Rabi,Maharashtra,Red,1.65,44658
Soybean,Rabi,Maharashtra,Laterite,0.91,32452
Groundnut,Rabi,Punjab,Clay,2.58,35844
Wheat,Annual,Maharashtra,Laterite,1.31,33697
Onion,Annual,Odisha,Laterite,1.55,50923
Green Gram,Rabi,Punjab,Black,2.21,22104
Jowar,Annual,Telangana,Clay,1.38,23878
Maize,Annual,Madhya Pradesh,Black,2.07,27389
Jowar,Rabi,Madhya Pradesh,Red,2.71,24327
Sugarcane,Annual,Andhra Pradesh,Alluvial,2.49,93518
Chillies,Annual,Andhra Pradesh,Loamy,1.45,55798
Bajra,Annual,Telangana,Black,1.22,23775
Tobacco,Rabi,Rajasthan,Red,1.21,54736
Sunflower,Annual,Uttar Pradesh,Clay,1.37,34178
Cotton,Kharif,Rajasthan,Sandy,1.73,49245
Sunflower,Kharif,Uttar Pradesh,Clay,1.54,32375
Black Gram,Rabi,Punjab,Laterite,0.83,24922
Ragi,Kharif,Telangana,Laterite,0.91,25658
Tomato,Rabi,Uttar Pradesh,Laterite,1.36,47942
Chillies,Kharif,Andhra Pradesh,Red,1.91,52373
Lentil,Kharif,Andhra Pradesh,Laterite,1.98,24014
Carrot,Kharif,Tamil Nadu,Black,1.72,30249
Ragi,Rabi,Uttar Pradesh,Sandy,2.35,24322
Tomato,Rabi,Telangana,Laterite,2.34,49018
Cotton,Annual,Karnataka,Red,1.57,43053
Maize,Rabi,Punjab,Sandy,0.81,27399
Cabbage,Kharif,Maharashtra,Laterite,1.83,49350
Chillies,Kharif,Maharashtra,Alluvial,1.45,59571
Maize,Rabi,Uttar Pradesh,Laterite,0.84,26841
Cotton,Rabi,Rajasthan,Loamy,2.95,49138
Green Gram,Rabi,Punjab,Clay,1.42,20918
Ragi,Annual,Madhya Pradesh,Black,2.06,24737
Maize,Kharif,Odisha,Sandy,1.73,25843
Cabbage,Annual,Maharashtra,Black,0.86,49144
Beans,Annual,Andhra Pradesh,Alluvial,0.64,28153
Sesame,Kharif,Punjab,Alluvial,2.06,25025
Sunflower,Kharif,Rajasthan,Loamy,1.12,34254
Tomato,Rabi,Telangana,Black,1.11,51443
Chillies,Rabi,Rajasthan,Sandy,2.89,53742
Carrot,Annual,Punjab,Alluvial,1.65,31579
Wheat,Rabi,Madhya Pradesh,Alluvial,0.57,31810
Sugarcane,Rabi,Maharashtra,Laterite,1.35,91744
Onion,Kharif,Andhra Pradesh,Loamy,1.96,45843
Lentil,Kharif,Karnataka,Clay,1.32,26562
Banana,Rabi,Telangana,Red,0.57,123624
Peas,Kharif,Andhra Pradesh,Clay,1.61,28995
Cabbage,Rabi,Madhya Pradesh,Clay,0.76,46716
Paddy,Kharif,Odisha,Alluvial,2.05,30622
Mustard,Kharif,Madhya Pradesh,Sandy,2.05,29224
Beans,Kharif,Madhya Pradesh,Sandy,0.59,25103
Beans,Kharif,Maharashtra,Laterite,1.23,26508
Peas,Rabi,Punjab,Sandy,1.53,30369
Cabbage,Annual,Punjab,Laterite,1.88,43783
Paddy,Kharif,Andhra Pradesh,Alluvial,1.24,27995
Chillies,Rabi,Odisha,Alluvial,1.22,55496
Green Gram,Rabi,Odisha,Clay,2.96,22430
Paddy,Kharif,Rajasthan,Alluvial,0.6,27867
Chillies,Annual,Karnataka,Alluvial,2.97,57752
Sunflower,Kharif,Madhya Pradesh,Red,0.62,37118
Sesame,Rabi,Karnataka,Loamy,1.22,26090
Ragi,Annual,Tamil Nadu,Clay,1.73,26766
Paddy,Rabi,Uttar Pradesh,Clay,0.86,28728
Beans,Kharif,Madhya Pradesh,Loamy,0.84,27920
Onion,Annual,Karnataka,Red,1.14,51618
Cabbage,Rabi,Maharashtra,Alluvial,2.93,49424
Jowar,Rabi,Uttar Pradesh,Sandy,1.45,23368
Horse Gram,Rabi,Odisha,Laterite,1.91,20507
Sunflower,Kharif,Madhya Pradesh,Clay,2.26,37314
Tomato,Annual,Madhya Pradesh,Loamy,2.36,53603
Sugarcane,Kharif,Odisha,Black,2.22,98292
Sesame,Kharif,Rajasthan,Laterite,1.34,26375
Sunflower,Kharif,Maharashtra,Black,0.78,36229
